#,Country,#.1,Artist,Song,Language,Place,Score,Eurovision Number,Year,Host Country,Host City,Lyrics,Lyrics translation,artist_norm,song_norm,danceability,energy,loudness,tempo
1723,Armenia,-,LADANIVA,Jako,English/Armenian,8,183.0,68,2024,Sweden,Malmö,"Ինձ ասում են.
Ժակո՛, քեզ խելոք պահի՛,
Շատ մի՛ խոսա,
Շատ սուս էլ մի՛ նստի,
Հագի՛, բացի՛, փակի՛,
Աղջկա պես քեզ պահի՛»:
Ես աղջիկ եմ ազատ,
Ես կպարեմ, դու էլ նայի՛:
Լա Լա Լա
Արի՛, արի՛, արի՛ դու ինձ միացի՛,
Մեկ ա, մեկ ա, մեկ ա՝ ով ինչ կասի,
Էլի, էլի, էլի ժամին չենք նայի,
Հելի՛, հելի՛, հելի՛ բոյիդ մատաղ,
Վե՛ր կաց, պարի՛:
Լա Լա Լա","They tell me:
“Jako, be humble!”
“Don't talk too much!”
“Don't stay too quiet!”
“Wear this, open this, close that,”
“Behave like a girl!’
But I am a free girl, so I will dance and you will watch!
La La La
Come, come, come and join me!
No matter what they say,
We will forget about the time again,
Come on, come on, come on my dear, get up and dance!
La La La",ladaniva,jako,0.43,0.744,-5.426,133.224
1725,Austria,-,Kaleen,We Will Rave,English,24,24.0,68,2024,Sweden,Malmö,"Ice running through my veins
You just did it again
Go cause I can’t be your friend
I’m cold but this is not the end
So I go go go
Where the broken hearted go
No one knows a thing about my haunted soul
I go oh oh
Wanna dance it off alone
I won't let it show
They will never know
When the darkness hits and we can’t be saved
We rum de dum dum da – We Will Rave
When our hearts are burning we feel no pain
We rum de dum dum da – We Will Rave
I see only silhouettes
I just wanna forget
About everything we said
And the demons in my head
So I go go go
Where the broken hearted go
No one knows a thing about my haunted soul
I go oh oh
Wanna dance it off alone
I won't let it show
They will never know
When the darkness hits and we can’t be saved
We rum de dum dum da – We Will Rave
When our hearts are burning we feel no pain
We rum de dum dum da – We Will Rave",English,kaleen,we will rave,0.579,0.911,-5.175,139.99
1728,Croatia,-,Baby Lasagna,Rim Tim Tagi Dim,English,2,547.0,68,2024,Sweden,Malmö,"Ay, I’m a big boy now
I’m ready to leave, ciao mamma ciao
Ay, I’m a big boy now
I’m going away and I sold my cow
But before I leave, I must confess
I need a round of decompress
One more time for all the good times
Rim Tim Tagi Digi Rim Tim Tim
Rim Tim Tagi Digi
Rim Tim Tagi Digi
Rim Tim Tagi Digi
Rim Tim Tagi Digi
Gonna miss you all, but mostly the cat
Gonna miss my hay, gonna miss my bed
Most of all I’m gonna miss the dance
So come on ya’ll, let us prance
Rim Tim Tagi Digi
Rim Tim Tagi Digi
Rim Tim Tagi Digi
Rim Tim Tagi Digi
Don’t call, don’t write
I’m leaving with the first light
Don’t cry, but dance
Rim Tim Tagi Digi Rim Tim Tim
There’s no going back
My presence fades to black
There’s no going back
My anxiety attacks
Rim Tim Tagi Digi Rim Tim Tim
Rim Tim Tagi Digi
Rim Tim Tagi Digi
Rim Tim Tagi Digi
Rim Tim Tagi Digi
I hope I find, peace in the noise
Wanna become one of the city boys
They’re all so pretty and so advanced
Maybe they also know our dance
Rim Tim Tagi Digi
Rim Tim Tagi Digi
Rim Tim Tagi Digi
Rim Tim Tagi Digi
Bye mom, bye dad
Meow cat, please meow back
Don’t cry, just dance
Rim Tim Tagi Digi Rim Tim Tim
There’s no going back
My presence fades to black
There’s no going back
My anxiety attacks
Rim Tim Tagi Digi Rim Tim Tim
There’s no going back
My presence fades to black
There’s no going back
My anxiety attacks
Rim Tim Tagi Digi Rim Tim Tim
There’s no going back
My presence fades to black
There’s no going back
My anxiety attacks
Rim Tim Tagi Digi Rim Tim Tim",English,baby lasagna,rim tim tagi dim,0.587,0.879,-6.729,128.041
1729,Cyprus,-,Silia Kapsis,Liar,English,15,78.0,68,2024,Sweden,Malmö,"Waking up in the morning and I'm
I'm feeling like ooh-la-la
It’s about to go down cause I found out the truth, la-la
9 o clock in the morning and I know this is our last night
I know what I’m doing cause
Yeah I got it on black and white
Should’ve known that you are a liar
But I looked the other way
Should’ve known you’re a trouble maker
But you act too nice to hate
I knew we couldn’t get much higher
But you promised the world to me
Do you see that you light my fire
Now I know what I know
Because of you
I'll make it through
Take a look at yourself
Cause that is what you need to do, to do
Cause the only problem in this room
Is about you, about you
Cause you're a liar
Liar, Liar, Liar
You lie
Waking up in the morning and I'm
I'm feeling like ooh-la-la
Now I know that your heart and your mind don’t align, la-la
I can see it in your eyes that you don't like to be this way
I know that you're fighting back
Guys like you can't be changed
Should’ve known that you are a liar
But I looked the other way
Should’ve known you’re a trouble maker
But you act too nice to hate
I knew we couldn’t get much higher
But you promised the world to me
Do you see that you light my fire
Now I know what I know
Because of you
I'll make it through
Take a look at yourself
Cause that is what you need to do, to do
Cause the only problem in this room
Is about you, about you
Cause you're a liar
Because of you
I'll make it through
Take a look at yourself
Cause that is what you need to do, to do
Cause the only problem in this room
Is about you, about you
Cause you're a liar",English,silia kapsis,liar,0.698,0.862,-6.938,100.009
1733,Finland,-,Windows95man,No Rules!,English,19,38.0,68,2024,Sweden,Malmö,"Welcome. My name is Windows... Windows95man
And I only live by one rule, and the rule is... NO RULES!
(No rules...)
Silence, I say
This is my time - my stage
Call me what you may, see if I care
See me slay!
Is there something wrong with the way I look?
Is there something wrong with who I am?
If I’m not alright
Tell me why do I
Feel so beautiful tonight
NO RULES!
It’s how I live
How I find the wind beneath my wings
It’s how I learn to fly
NO RULES!
In the heat of the night
In the thrill of the fight
I don’t even care what’s wrong or right
It’s how I live my life
NO RULES!
Quiet as I speak
I am the king - I am the queen
And you all gonna be free
Forget the rules and scream!
Is there something wrong with the way I look?
Is there something wrong with who I am?
If I’m not alright
Tell me why do I
Feel so beautiful tonight
NO RULES!
It’s how I live
How I find the wind beneath my wings
It’s how I learn to fly
NO RULES!
In the heat of the night
In the thrill of the fight
I don’t even care what’s wrong or right
It’s how I live my life
NO RULES!
It’s how I live
How I find the wind beneath my wings
It’s how I learn to fly
(Make some noise, let’s go!)
In the heat of the night
In the thrill of the fight
I don’t even care what’s wrong or right
It’s how I live my life
NO RULES!
It’s how I live
How I find the wind beneath my wings
It’s how I learn to fly
(Come on!)
NO RULES!
In the heat of the night
In the thrill of the fight
I don’t even care what’s wrong or right
It’s how I live my life
NO RULES!",English,windows95man,no rules,0.493,0.949,-4.961,159.975
1734,France,-,Slimane,Mon amour,French,4,445.0,68,2024,Sweden,Malmö,"Mon amour
Dis-moi à quoi tu penses
Si tout ça a un sens
Désolé si je te dérange
Mon amour
Te souviens-tu de nous?
Du premier rendez-vous?
C'était beau, c'était fou
Je t'aime
J'sais pas pourquoi
Je rejoue la scène
Mais c'est toujours la même fin qui recommence
Tu n'entends pas
Ma peine, on en fait quoi?
Est-ce que tu m'aimes ou pas?
Mon amour
Je ferai tout ce que je peux
Un océan dans le feu
L'impossible si tu le veux
Oh Mon amour
Allez reviens à Paris
Fais-le pour nous je t'en supplie
Je le promets j'ai compris
Je t'aime
J'sais pas pourquoi
Je rejoue la scène
Mais c'est toujours la même fin qui recommence
Tu n'entends pas
Ma peine, on en fait quoi?
Est-ce que tu m'aimes ou pas?
Dis-moi l'endroit, je t’attendrai
Et si tu ne viens pas, je t'attendrai
C'est bête je sais, je le ferai
Rempli d'espoir je t'attendrai
Je t'aime
J'sais pas pourquoi
Je rejoue la scène
Mais c'est toujours la même fin qui recommence
Tu n'entends pas
Ma peine, on en fait quoi?
Est-ce que tu m'aimes
Est-ce que tu m’aimes
Est-ce que tu m’aimes
Est-ce que tu m’aimes ou pas?","My love
Tell me what’s on your mind
If all of this makes sense
Sorry if I disturb you
My love
Do you remember us?
Our first rendez-vous?
It was beautiful, It was insane
I love you
I don’t know why
I play the scene again
But it's always the same ending that keeps repeating
You don’t hear anything
What do we do about my pain?
Do you love me or not?
My love
I’ll do all that I can
Create an ocean in the fire
The impossible if you want me to
Oh my love
Please come back to Paris
Do it for us, I am begging you
I promise, I've learned my lesson
I love you
I don’t know why
I play the scene again
But it’s always the same ending that keeps repeating
You don’t hear anything
What do we do about my pain?
Do you love me or not?
Tell me the place, I’ll wait for you
And if you don’t come, I’ll still wait for you
I know it’s silly, but that’s what I’ll do
Filled with hope, I’ll will wait for you
I love you
I don’t know why
I play the scene again
But it's always the same ending that keeps repeating
You don’t hear anything
What do we do about my pain?
Do you love me?
Do you love me?
Do you love me?
Do you love me or not?",slimane,mon amour,0.505,0.357,-8.037,141.948
1736,Germany,-,ISAAK,Always On The Run,English,12,117.0,68,2024,Sweden,Malmö,"I am nothing but the average
Even though I‘m special to some
I can’t refuse I‘m going under
No one gives a ... about what’s soon to come
What’s soon to come
I know my blessing with the privilege
Of doing anything I want
But I don’t feel like getting stronger
In my mind it’s just a game that can’t be won
That can’t be won
I‘m always on the run, run, run, run
Close but never done, done, done, done
I can’t break out when I‘m free
Lost in my own identity
I‘m on the run, run, run, run
I‘m always on the
Run na na eh, run na na eh
Run na na eh, run na na eh
Run na na eh, run na na eh
Run na na eh, run na na eh
All I do is keep my head up
But it’s time to keep the pace
Like I‘m haunted by the voices
Deep within oh they‘re just never gonna fade (run na na eh, run na na eh)
Not gonna fade
I‘m always on the run, run, run, run
Close but never done, done, done, done
I can’t break out when I‘m free
Lost in my own identity
I‘m on the run, run, run, run
I‘m always on the
Run na na eh, run na na eh
Run na na eh, run na na eh
Run na na eh, run na na eh
Run na na eh, run na na eh
Run from the silence
Screaming for guidance
Who am I fighting for
Get out of my head
I‘m so sick and tired
Can’t do this anymore
Run from the silence
Screaming for guidance
Who am I fighting for
Get out of my head
I‘m so sick and tired
Can’t do this anymore
Run from the silence
Screaming for guidance
Who am I fighting for
Get out of my head
I‘m so sick and tired
Can’t do this anymore
Run from the silence
Screaming for guidance",English,isaak,always on the run,0.64,0.636,-6.005,109.993
1737,Greece,-,Marina Satti,ZARI,Greek,11,126.0,68,2024,Sweden,Malmö,"Pónos mi mas érthei makári
Péfto kai kyliémai sa zári
Káno pos xechnáo t’ ónomá sou
Ki óla allázoun gýro mou apótoma
O ánemos gia pou tha mas párei
Péfto kai kyliémai sa zári
Káno pos xechnáo t’ áromá sou
Ki óla allázoun gýro mou
I’m gonna do it my way
Sto myaló sou tha bainovgaíno
Giatí de mou ‘doses to chéri
Oúte gia na piastó
Kápote eícha póno gia séna kryfó
T’afíno óla na vgoúne
Páme
Put your hands up
Káno óti den ítane pséma
Ríxe álli mia teleftaía forá
Ki áse na mas férei ó,ti thélei metá
(TA TA TA TA TA)
(TA TA TA TA TA TA)
Ki áse na mas férei ó,ti thélei metá
TA TA TA TA TA TA
Na mas férei ó,ti thélei
(TA TA TA TA TA TA)
Ki as eínai na mas férei ó,ti thélei metá
(TA TA TA TA TA TA)
Na mas férei ó,ti thélei
Na mi thymithó
Tis óres pou kónteva na trelathó
Áse na mi thymithó
Den písteves To kárma óti eínai alithinó
Páme
Put your hands up
Káno óti den ítane pséma
Ríxe álli mia teleftaía forá
Ki áse na mas férei ó,ti thélei metá
(TA TA TA TA TA)
Móni ki an méno
Pánta se periméno
Trémo san flóga
San spírto anamméno
Ótan charázei
me tróei to marázi
móni pethaíno an eísai alloú
(TA TA TA TA TA TA)
Ki áse na mas férei ó,ti thélei metá
(TA TA TA TA TA TA)
Na mas férei ó,ti thélei
(TA TA TA TA TA TA)
Ki as eínai na mas férei ó,ti thélei metá
(TA TA TA TA TA TA)
Na mas férei ó,ti thélei
Pónos mi mas érthei makári
Péfto kai kyliémai sa zári
Káno pos xechnáo t’ ónomá sou
Ki óla allázoun gýro mou apótoma
O ánemos gia pou tha mas párei
Péfto kai kyliémai sa zári
Káno pos xechnáo t’ áromá sou
Ki óla allázoun gýro mou apótoma
(TA TA TA TA TA TA)
Ki áse na mas férei ó,ti thélei metá
(TA TA TA TA TA TA)
Na mas férei ó,ti thélei
Ki as eínai na mas férei ó,ti thélei metá
(TA TA)
Ki óla allázoun gýro mou apótoma","May pain not come to us
I fall and move like dice
I pretend to forget your name
And everything changes around me abruptly
Where will the wind take us?
I fall and roll like dice
I pretend to forget your scent
And everything is changing around me
I’m gonna do it my way
I’ll come in and out of your mind
You never gave me a hand to hold
I used to want you secretly
Now I’m letting it all go
Let’s go
Put your hands up
Pretend it wasn’t a lie
Fall one last time
And let whatever happens happen
(ΤΑ ΤΑ ΤΑ ΤΑ ΤΑ)
(ΤΑ ΤΑ ΤΑ ΤΑ ΤΑ ΤΑ)
And let whatever happens happen
ΤΑ ΤΑ ΤΑ ΤΑ ΤΑ ΤΑ
And let whatever happens happen
(ΤΑ ΤΑ ΤΑ ΤΑ ΤΑ ΤΑ)
And let whatever happens happen
(ΤΑ ΤΑ ΤΑ ΤΑ ΤΑ ΤΑ)
And let whatever happens happen
I don’t want to remember
The hours where I almost went crazy
Let me not remember
You didn’t believe that karma was real
Let’s go
Put your hands up
Pretend it wasn’t a lie
Roll it one last time
And let whatever happens happen
(ΤΑ ΤΑ ΤΑ ΤΑ ΤΑ)
Even if I stay alone
I will always be waiting for you
I’m trembling like a flame
Like a lighted up match
When the dawn comes
I pine away
I die alone if you are not here
(ΤΑ ΤΑ ΤΑ ΤΑ ΤΑ ΤΑ)
And let whatever happens happen
(ΤΑ ΤΑ ΤΑ ΤΑ ΤΑ ΤΑ)
Let whatever happens happen
(ΤΑ ΤΑ ΤΑ ΤΑ ΤΑ ΤΑ)
And let whatever happens happen
(ΤΑ ΤΑ ΤΑ ΤΑ ΤΑ ΤΑ)
Let whatever happens happen
May pain not come to us
I fall and move like dice
I pretend to forget your name
And everything changes around me abruptly
Where will the wind take us?
I fall and roll like dice
I pretend to forget your scent
And everything is changing around me abruptly
(ΤΑ ΤΑ ΤΑ ΤΑ ΤΑ ΤΑ)
And let whatever happens happen
(ΤΑ ΤΑ ΤΑ ΤΑ ΤΑ ΤΑ)
Let whatever happens happen
And let whatever happens happen
(ΤΑ ΤΑ)
And everything is changing around me abruptly",marina satti,zari,0.786,0.603,-4.282,101.937
1739,Ireland,-,Bambie Thug,Doomsday Blue,English,6,278.0,68,2024,Sweden,Malmö,"Avada Kadavra
I speak to destroy
The feelings I have I cannot avoid
Through twisted tongues
A hex deployed on you
That all the pretties in your bed
Escape your hands and make you sad
And all the things you wish you had you lose
I, I, I know you’re living a lie
I, I, I see the scars in your eyes
I, I, I know you’re living a lie
I, I, I guess you’d rather have a star than the moon
I guess I always overestimate you
Hoodoo all the things that you do
I’m down down in my Doomsday blue
(I, I, I know you’re living a lie)
(I, I, I know you’re living a lie)
Avada Kadavra
The thoughts in my head
The places I touch when lying in bed
The visions of you the words that you said
Undo
My heartbeat buried in the ground
And to the strings I bind you’re bound
So when you sleep you’ll hear my sound
(cuckoo)
I, I, I know you’re living a lie
I, I, I see the scars in your eyes
I, I, I know you’re living a lie
I, I, I guess you’d rather have a star than the moon
I guess I always overestimate you
Hoodoo all the things that you do
I’m down down in my Doomsday blue
I guess you’d rather have a star than the moon
I guess I always overestimate you
Hoodoo all the things that you do
I’m down down in my Doomsday blue
For your romance
I’d beg steal and borrow
It’s draining me hollow
You-ooooh
You could slow dance me
Out of my sorrow
But your favourite colour
Compared to the others is doom
Doomsday blue
Blue
Blue
Blue
Blue
Blue
Blue
Avada Kadavra
I speak to destroy!",English,bambie thug,doomsday blue,0.487,0.846,-7.123,130.008
1740,Israel,-,Eden Golan,Hurricane,English/Hebrew,5,375.0,68,2024,Sweden,Malmö,"Writer of my symphony
Play with me
Look into my eyes and see
People walk away but never say goodbye
Someone stole the moon tonight
Took my light
Everything is black and white
Who's the fool who told you boys don't cry
Hours and hours, empowers
Life is no game but it's ours
While, the time goes wild
Everyday I'm losing my mind
Holding on in this mysterious ride
Dancing in the storm
I got nothing to hide
Take it all and leave the world behind
Baby promise me you’ll hold me again
I’m still broken from this hurricane
This hurricane
Living in a fantasy, ecstasy
Everything is meant to be
We shall pass but love will never die
Hours and hours, empowers
Life is no game but it's ours
While, the time goes wild
Everyday I'm losing my mind
Holding on in this mysterious ride
Dancing in the storm
I got nothing to hide
Take it all and leave the world behind
Baby promise me you’ll hold me again
I’m still broken from this hurricane
This hurricane
Lo tzarich milim gdolot
(Don’t need big words)
Rak tfilot
(Just prayers)
Afilu eem kashe lirrot
(Even if it’s hard to see)
Tamid ata masheer li or echad katan
(You always leave one single light)",English,eden golan,hurricane,0.577,0.571,-5.557,86.992
1741,Italy,-,Angelina Mango,La noia,Italian,7,268.0,68,2024,Sweden,Malmö,"Quanti disegni ho fatto
Rimango qui e li guardo
Nessuno prende vita
Questa pagina è pigra
Vado di fretta
E mi hanno detto che la vita è preziosa
Lo la indosso a testa alta sul collo
La mia collana non ha perle di saggezza
A me hanno dato le perline colorate
Per le bimbe incasinate con i traumi
Da snodare piano piano con l’età
Eppure sto una Pasqua guarda zero drammi
Quasi quasi cambio di nuovo città
Che a stare ferma a me mi viene
A me mi viene
La noia
La noia
La noia
La noia
Muoio senza morire
In questi giorni usati
Vivo senza soffrire
Non c’è croce più grande
Non ci resta che ridere in queste notti bruciate
Una corona di spine sarà il dress-code per la mia festa
È la cumbia della noia
È la cumbia della noia
Total
Ah, è la cumbia della noia
La cumbia della noia
Total
Quanta gente nelle cose vede il male
Viene voglia di scappare come iniziano a parlare
E vorrei dirgli che sto bene ma poi mi guardano male
Allora dico che è difficile campare
Business parli di business
Intanto chiudo gli occhi per firmare i contratti
Princess ti chiama princess
Allora adesso smettila di lavare i piatti
Muoio senza morire
In questi giorni usati
Vivo senza soffrire
Non c’è croce più grande
Non ci resta che ridere in queste notti bruciate
Una corona di spine sarà il dress-code per la mia festa
È la cumbia della noia
È la cumbia della noia
Total
Allora scrivi canzoni?
Si, le canzoni d’amore
E non ti voglio annoiare
Ma qualcuno le deve cantare
Cumbia, ballo la cumbia
Se rischio di inciampare almeno fermo la noia
Quindi faccio una festa, faccio una festa
Perché è l’unico modo per fermare
Per fermare
Per fermare, ah
La noia
La noia
La noia
La noia
Muoio perché morire
Rende i giorni più umani
Vivo perché soffrire
Fa le gioie più grandi
Non ci resta che ridere in queste notti bruciate
Una corona di spine
Sarà il dress-code per la mia festa
È la cumbia della noia
È la cumbia della noia
Total
Ah, è la cumbia della noia
La cumbia della noia
Total
Total","How many drawings have I done
I’m sittin’ here lookin’ at them
None come to life
This page is lazy
I'm in a rush
And they told me that life is precious
I wear it tall and head high
My necklace has no pearls of wisdom
They gave me colourful beads
For the messed up girls with traumas
To be slowly unravelled growing up
Nevertheless I’m looking great with zero drama
Maybe I’ll move cities once again
Cause staying still
It comes to me, it comes to me
The Boredom
The Boredom
The Boredom
The Boredom
I die without dying
During these wasted days
I live without suffering
There is no greater cross
All we can do is have a laugh during these scorched nights
A crown of thorns will be the dress code for my party
It's the cumbia of boredom
It's the cumbia of boredom
Total
Ah, it's the cumbia of boredom
The cumbia of boredom
Total
How many people see evil in things
It makes me want to run away as they start talking
And I would like to say that I'm fine but then they look at me and scorn
So I say it's difficult to make a living
Business you talk about business
Meanwhile I close my eyes to sign contracts
Princess he calls you princess
So now stop washing the dishes
I die without dying
During these wasted days
I live without suffering
There is no greater cross
All we can do is have a laugh during these scorched nights
A crown of thorns will be the dress code for my party
It's the cumbia of boredom
It's the cumbia of boredom
Total
So do you write songs?
Yes, love songs
And I don't want to bore you
But someone has to sing them
Cumbia, I dance cumbia
If I risk tripping at least I'll stop the boredom
So I'm having a party, I'm having a party
Because it's the only way to stop
To stop
To stop, ah
The Boredom
The Boredom
The Boredom
The Boredom
I die without dying
During these wasted days
I live without suffering
There is no greater cross
All we can do is have a laugh during these scorched nights
A crown of thorns will be the dress code for my party
It's the cumbia of boredom
It's the cumbia of boredom
Total
Ah, it's the cumbia of boredom
The cumbia of boredom
Total
Total",angelina mango,la noia,0.68,0.871,-3.349,112.092
1742,Latvia,-,Dons,Hollow,English,16,64.0,68,2024,Sweden,Malmö,"Don’t look now
You’ll see me crying rivers I might drown
Don’t know how
Oh will I ever find my own way out
I don’t wanna lose me so cruelly
I’m drifting in and out of who I am
So help me understand
It’s killing me slow
Try to make me just another believer
Everybody just pretending they're preachers, preachers
It's killing me slow
Yeah I'd rather let them dig my grave shallow
Instead of selling out to something so hollow, hollow
Not afraid
Oh to tell you all my sins I can’t escape
No I won’t change
Woah it's like a bad disease that I can’t shake
I don’t wanna lose me so cruelly
I’m drifting in and out of who I am
So help me understand
It’s killing me slow
They try to make me just another believer
Everybody just pretending they're preachers, preachers
It's killing me slow
Yeah I'd rather let them dig my grave shallow
Instead of selling out to something so hollow",English,dons,hollow,0.438,0.429,-8.886,148.043
1743,Lithuania,-,Silvester Belt,Luktelk,Lithuanian,14,90.0,68,2024,Sweden,Malmö,"Diena viena ir vėl kita,
Tarytum čia data sustojo.
Einu tai ten, einu tai šen,
Ir kai sutems ir vėl iš naujo.
Rytoj rytoj rytoj
Pažadu mylėt tave rytoj
Laboj laboj laboj
Surasi tu mane nakty laboj.
Ar aš vis dar gyvas?
Ar tebepažįsti mane.
Saulė nepakyla.
Pasakyk ar liksi šalia.
Luktelk luktelk, dar vieną minutę luktelk.
Luktelk luktelk, dar vieną minutę luktelk.
Naktis viena, naktis kita
Kaip visada aš vėl iš naujo.
Stovime tyloje, grojančio radijo,
Nebenoriu šokt, nebenoriu šokt.
Stovime tyloje, grojančio radijo,
Nebenoriu šokt, bet man reikia šokt","One day has passed and then another
As if, the time has stopped.
I’m going somewhere, then some place else,
And after it gets dark, it will all repeat again.
Tomorrow, tomorrow, tomorrow
I promise to love you tomorrow
In the night, in the night, in the night
You will find me in the night.
Am I still alive?
Do you still recognise me?
The sun isn't coming up.
Tell me, will you stay by my side?
Wait up, wait up
Just another minute
Wait up, wait up
Just another minute
One night has passed, and then another
But as always, I start over again.
We’re standing in silence while the radio’s playing
I don't want to dance anymore.
We’re standing in silence while the radio’s playing
I don't want to dance, but I have to dance.",silvester belt,luktelk,0.761,0.953,-5.937,139.999
1744,Luxembourg,-,TALI,Fighter,English/French,13,103.0,68,2024,Sweden,Malmö,"T'as plus 20 ans
T'as plus le temps
De faire l'enfant
De faire que la fête
T'as plus d'argent
Pas d'élan
Tu vas vraiment
Droit vers la défaite
Et j'entends au loin au loin au loin
Cette petite voix, chant de sirène
Qui me dit mais viens
Vas-y prends ma main
Allez je t'emmène
Qui me dit tout bas
Come
I will never let you down
I know you're a fighter
Hold
In your heart the love around
You know you're a fighter
Et j'entends au loin au loin au loin
Cette petite voix qui me répète
Nan mais tu vas où ?
J'avoue j'avoue je sais pas
Je veux tout rien à la fois
J’finirai complètement folle
Et voilà
T'as pas le droit
D'rester comme ça
Faut faire des choix
T'as quoi dans la tête ?
Mène des combats
Crois en toi
Le monde est là
Pars à sa conquête
Et j'entends au loin au loin au loin
Cette petite voix, chant de sirène
Qui me dit mais viens
Va vers ton destin
Faut pas que tu freines
Qui me dit tout bas
Come
I will never let you down
I know you're a fighter
Hold
In your heart the love around
You know you're a fighter
Et j'entends au loin au loin au loin
Cette petite voix qui me répète
Nan mais tu vas où ?
J'avoue j'avoue je sais pas
Je veux tout rien à la fois
J’finirai complètement folle
Et voilà
J'avoue j'avoue je sais pas
Je veux tout rien à la fois
J’finirai complètement folle
Et voilà
Hear the sound of your dreams
You are so near
They are so near, look around
Hear the sound of your dreams
Not of your fears
And just open up your heart
Come
I will never let you down
I know you're a fighter
Hold
In your heart the love around
You know you're a fighter
Et cette voix
Elle s'en va
Elle revient
Dans ma tête
Nan mais tu vas où ?
J'avoue j'avoue je sais pas
Je veux tout rien à la fois
J’finirai complètement folle
Et voilà
J'avoue j'avoue je sais pas
Je veux tout rien à la fois
J’finirai complètement folle
Et voilà
Et voilà","You're not 20 anymore
You don't have time
To act like a child
To just party
You don't have money
No momentum
You're really
Heading towards defeat
And I hear in the distance, in the distance, in the distance
This little voice, siren's song
That tells me to come
Go ahead, take my hand
Come on, I'll take you
That tells me softly
Come
I will never let you down
I know you're a fighter
Hold
In your heart the love around
You know you're a fighter
And I hear in the distance, in the distance, in the distance
This little voice that repeats to me
Where are you going?
I admit I don't know
I want everything and nothing at once
I'll end up completely crazy
And there you go
You don't have the right
To stay like this
You have to make choices
What's on your mind?
Fight battles
Believe in yourself
The world is there
Go conquer it
And I hear in the distance, in the distance, in the distance
This little voice, siren's song
That tells me to come
Go towards your destiny
You must not slow down
That tells me softly
Come
I will never let you down
I know you're a fighter
Hold
In your heart the love around
You know you're a fighter
And I hear in the distance, in the distance, in the distance
This little voice that repeats to me
Where are you going?
I admit I don't know
I want everything and nothing at once
I'll end up completely crazy
And there you go
I admit I don't know
I want everything and nothing at once
I'll end up completely crazy
And there you go
Hear the sound of your dreams
You are so near
They are so near, look around
Hear the sound of your dreams
Not of your fears
And just open up your heart
Come
I will never let you down
I know you're a fighter
Hold
In your heart the love around
You know you're a fighter
And this voice
It goes away
It comes back
In my head
Where are you going?
I admit I don't know
I want everything and nothing at once
I'll end up completely crazy
And there you go
I admit I don't know
I want everything and nothing at once
I'll end up completely crazy
And there you go
And there you go",tali,fighter,0.553,0.683,-4.35,94.269
1748,Norway,-,Gåte,Ulveham,Norwegian,25,16.0,68,2024,Sweden,Malmö,"Eg var meg så ven og fager ei møy
Med stimoder vond, mi moder ho døy
Ho skapte meg om til eit svær og ei nål
Og sende meg av ti kongens gård
Og vreida mi stimoder kjende mest
Når alle dei gillaste lika meg best
Ho gav meg ein ham som ulve grå
Ho svor meg til einsam i skogjen gå
Og aldri blir eg heil og god
Før eg fær drukkje min broders blod","I was a very fine and beautiful maiden
With an evil stepmother. My mother had died.
She transformed me into a sword and a needle
And sent me off to the King’s estate.
The wrath of my stepmother grew
When all the fine people loved me most.
She gave me the hide of a grey wolf
And forced me to go into the woods alone.
And I would never be whole and good
Before I had drunk of my brother’s blood.",g te,ulveham,0.422,0.782,-5.496,130.128
