model,n_factors,reg,n_cells,n_ballots,rmse,rmse_awarded_only,precision_at_5,ndcg_at_5,ndcg_at_10,alpha
implicit_als_hkv,4,20.0,1945.0,83.0,3.3333923876160685,4.356902776358217,0.4843373493975904,0.5860923158986249,0.6497420402526779,4.0
implicit_als_hkv,8,5.0,1945.0,83.0,3.3364954269851688,4.301191575015509,0.47228915662650606,0.5499991016536252,0.6188010184434216,0.5
implicit_als_hkv,4,1.0,1945.0,83.0,3.3448218891322945,4.244260976131365,0.4626506024096385,0.5319811997433248,0.6090089350921584,0.5
implicit_als_hkv,8,5.0,1945.0,83.0,3.378007100639237,4.328046680977695,0.4506024096385543,0.5136622704500429,0.5932417878153227,1.0
implicit_als_hkv,16,5.0,1945.0,83.0,3.3800290161152353,4.454964399763163,0.4457831325301205,0.5147937985490553,0.5917618050622427,1.0
implicit_als_hkv,4,1.0,1945.0,83.0,3.4045169326174514,4.3139333415790455,0.4168674698795181,0.47971186485593387,0.5798566336277826,1.0
implicit_als_hkv,8,5.0,1945.0,83.0,3.4082618548703207,4.371384552941491,0.419277108433735,0.4644420549734591,0.5550223647288417,4.0
implicit_als_hkv,4,5.0,1945.0,83.0,3.4160676094251365,4.404228427842842,0.4385542168674699,0.49542753054709626,0.5936874080957052,4.0
implicit_als_hkv,16,5.0,1945.0,83.0,3.4445728508958795,4.510609463146643,0.41927710843373506,0.4793713318454932,0.5655641302193836,4.0
implicit_als_hkv,4,1.0,1945.0,83.0,3.4730158206732655,4.4407598680361,0.34216867469879514,0.38841873306924085,0.529716083120626,4.0
implicit_als_hkv,8,1.0,1945.0,83.0,3.567032614209685,4.441385662165003,0.33975903614457836,0.39541612677110827,0.5309199660766305,1.0
implicit_als_hkv,8,1.0,1945.0,83.0,3.5771697379495717,4.492440261752178,0.38072289156626504,0.42338626302105686,0.5316506283130982,0.5
implicit_als_hkv,16,1.0,1945.0,83.0,3.5974638820813216,4.7837706527236055,0.3493975903614458,0.4090602144902642,0.5195239484238331,0.5
implicit_als_hkv,8,1.0,1945.0,83.0,3.6258898362436285,4.467986943884167,0.3180722891566265,0.3494363615101779,0.4890717202391082,4.0
implicit_als_hkv,16,1.0,1945.0,83.0,3.6908889031907606,4.814656182578673,0.32289156626506027,0.38069846716246164,0.5034860155917011,1.0
implicit_als_hkv,16,1.0,1945.0,83.0,3.9540929080588,4.964713911563904,0.2963855421686747,0.3535046056022817,0.4605387099282234,4.0
